training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7075424,-7.7075424,0.08900846,1.0,0.19240123,-0.19867818,3.3332267,7.7467093,-7.7467093,0.09880027,1.0,0.05039491229057312,251.97457098960876,5000
7.6464314,-7.6464314,0.07373085,1.0,0.06476578,-0.08777589,1.732779,7.6809444,-7.6809444,0.08235914,1.0,0.0006924263477325439,255.4367060661316,10000
7.633402,-7.633402,0.07047345,1.0,0.12089344,-0.12513497,1.9432626,7.645584,-7.645584,0.07351898,1.0,0.0007063168048858642,258.96829295158386,15000
7.6201077,-7.6201077,0.06714983,1.0,0.09901834,-0.11034646,1.6555824,7.6417646,-7.6417646,0.072564095,1.0,0.0006965643882751465,262.4511182308197,20000
7.600501,-7.600501,0.06224831,1.0,0.0660931,-0.0715867,1.305932,7.6600523,-7.6600523,0.07713604,1.0,0.0007116306304931641,266.0092749595642,25000
7.618732,-7.618732,0.066805966,1.0,0.12770043,-0.101292014,1.6122209,7.656028,-7.656028,0.07612993,1.0,0.000697998571395874,269.4992709159851,30000
7.585281,-7.585281,0.05844322,1.0,0.06325045,-0.05857217,1.2429,7.6315265,-7.6315265,0.07000451,1.0,0.0007087309837341309,273.0429286956787,35000
7.5948734,-7.5948734,0.060841374,1.0,0.15403566,-0.12157686,1.9005425,7.650568,-7.650568,0.07476492,1.0,0.0006945559978485108,276.51571249961853,40000
7.598389,-7.598389,0.06172023,1.0,0.08369486,-0.110117264,1.6091214,7.6422443,-7.6422443,0.07268415,1.0,0.0007190021991729736,280.11072731018066,45000
7.5909157,-7.5909157,0.059851855,1.0,0.10514843,-0.12929316,1.5877298,7.628683,-7.628683,0.0692936,1.0,0.000691452693939209,283.5679941177368,50000
7.5727777,-7.5727777,0.055317294,1.0,0.12182678,-0.13811818,1.4728669,7.6241255,-7.6241255,0.06815428,1.0,0.0007130880832672119,287.133437871933,55000
7.575895,-7.575895,0.05609662,1.0,0.06285473,-0.08821068,1.3370571,7.655725,-7.655725,0.07605417,1.0,0.0006939119815826416,290.60300064086914,60000
7.5772467,-7.5772467,0.05643472,1.0,0.07694214,-0.12537633,1.4033068,7.6376643,-7.6376643,0.07153905,1.0,0.0007072522640228272,294.13926553726196,65000
7.592972,-7.592972,0.060365967,1.0,0.113081925,-0.10144184,1.5624948,7.6670146,-7.6670146,0.07887657,1.0,0.0007014422416687011,297.64648032188416,70000
7.570404,-7.570404,0.054723978,1.0,0.081678875,-0.08662001,1.3320422,7.642907,-7.642907,0.07284978,1.0,0.0007138771057128906,301.21586894989014,75000
