training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7239695,-7.7239695,0.09311536,1.0,0.08664831,-0.1140109,2.3093123,7.7227554,-7.7227554,0.09281187,1.0,0.05036193466186523,251.80968403816223,5000
7.6535263,-7.6535263,0.07550448,1.0,0.09883603,-0.07924147,1.8584447,7.6937056,-7.6937056,0.08554927,1.0,0.0006935035228729248,255.27720475196838,10000
7.631693,-7.631693,0.070046276,1.0,0.071677886,-0.09472769,1.8475356,7.6752806,-7.6752806,0.08094317,1.0,0.0007026358127593995,258.7903871536255,15000
7.63094,-7.63094,0.06985792,1.0,0.0690492,-0.07462778,1.5461826,7.670351,-7.670351,0.07971066,1.0,0.0006958489418029785,262.26963567733765,20000
7.598798,-7.598798,0.061822418,1.0,0.0594545,-0.071974315,1.2732404,7.6595726,-7.6595726,0.07701601,1.0,0.0006980647563934326,265.7599630355835,25000
7.623911,-7.623911,0.068100676,1.0,0.11918628,-0.1218649,1.6526489,7.6438003,-7.6438003,0.07307294,1.0,0.0006957522869110108,269.23872804641724,30000
7.594329,-7.594329,0.060705148,1.0,0.094841406,-0.11651363,1.4128138,7.6469436,-7.6469436,0.07385875,1.0,0.0006958030700683594,272.71774673461914,35000
7.5884695,-7.5884695,0.05924035,1.0,0.073504806,-0.10390855,1.3751076,7.6381855,-7.6381855,0.071669385,1.0,0.0006958062648773193,276.19678115844727,40000
7.59533,-7.59533,0.060955506,1.0,0.06760685,-0.1001515,1.4440657,7.6372867,-7.6372867,0.07144466,1.0,0.0006940076828002929,279.66682291030884,45000
7.5719967,-7.5719967,0.055122145,1.0,0.10121427,-0.13419859,1.3908099,7.649709,-7.649709,0.0745503,1.0,0.0006981300830841065,283.15747690200806,50000
7.568545,-7.568545,0.054259203,1.0,0.08275,-0.07626779,1.2182852,7.6447945,-7.6447945,0.07332151,1.0,0.0006986952304840088,286.6509566307068,55000
7.5832615,-7.5832615,0.057938322,1.0,0.08266955,-0.09420284,1.2502283,7.621476,-7.621476,0.06749193,1.0,0.0006948562622070313,290.1252417564392,60000
7.582429,-7.582429,0.057730176,1.0,0.101633556,-0.08121016,1.4614459,7.6432457,-7.6432457,0.07293442,1.0,0.0006979014873504638,293.61475253105164,65000
7.564534,-7.564534,0.05325661,1.0,0.11892463,-0.09972241,1.4952768,7.6413703,-7.6413703,0.0724655,1.0,0.0006968168258666992,297.0988402366638,70000
7.546891,-7.546891,0.048845734,1.0,0.0875303,-0.12713449,1.463098,7.65866,-7.65866,0.076787874,1.0,0.0006945080280303955,300.5713837146759,75000
7.5634575,-7.5634575,0.052987352,1.0,0.09638518,-0.15781912,1.4523582,7.6365047,-7.6365047,0.0712491,1.0,0.0006964152812957764,304.0534634590149,80000
7.5687065,-7.5687065,0.054299533,1.0,0.08206752,-0.09181585,1.4284112,7.667428,-7.667428,0.078979954,1.0,0.000693192195892334,307.5194275379181,85000
7.5525093,-7.5525093,0.050250366,1.0,0.08059625,-0.07559233,1.2741498,7.642788,-7.642788,0.072819814,1.0,0.0006939937591552734,310.98939990997314,90000
7.5808244,-7.5808244,0.05732912,1.0,0.17294678,-0.11699467,1.6382434,7.63997,-7.63997,0.07211538,1.0,0.0007043602466583252,314.51120471954346,95000
7.5564623,-7.5564623,0.051238406,1.0,0.10956705,-0.071979634,1.2619203,7.6675377,-7.6675377,0.07900742,1.0,0.0006927494525909424,317.9749553203583,100000
7.5763283,-7.5763283,0.056205004,1.0,0.10772277,-0.0814309,1.3579881,7.6455936,-7.6455936,0.07352145,1.0,0.05094957375526428,572.7228276729584,105000
7.553115,-7.553115,0.050401688,1.0,0.08593206,-0.06826856,1.2367834,7.6475716,-7.6475716,0.074015826,1.0,0.0007337360382080079,576.3915112018585,110000
7.5631456,-7.5631456,0.052909352,1.0,0.095231585,-0.08137659,1.406397,7.6474147,-7.6474147,0.073976636,1.0,0.0007364655017852783,580.0738418102264,115000
7.563283,-7.563283,0.052943714,1.0,0.11890551,-0.12058709,1.5411888,7.664164,-7.664164,0.078164,1.0,0.0007280565738677978,583.7141282558441,120000
7.570138,-7.570138,0.054657426,1.0,0.08332426,-0.13095516,1.5588771,7.638848,-7.638848,0.07183492,1.0,0.0007373410701751709,587.4008369445801,125000
7.564824,-7.564824,0.053328924,1.0,0.092821695,-0.09378418,1.3550552,7.6597743,-7.6597743,0.077066526,1.0,0.00072523512840271,591.0270161628723,130000
7.5547953,-7.5547953,0.050821736,1.0,0.13948767,-0.09638468,1.4324223,7.6350927,-7.6350927,0.07089622,1.0,0.0007230984210968018,594.6425120830536,135000
7.543364,-7.543364,0.047963955,1.0,0.09101934,-0.07299135,1.2983153,7.661282,-7.661282,0.07744351,1.0,0.0007262628555297851,598.273829460144,140000
7.5536656,-7.5536656,0.050539315,1.0,0.10463802,-0.12202252,1.5378162,7.655175,-7.655175,0.07591683,1.0,0.0007273779392242432,601.9107229709625,145000
7.572137,-7.572137,0.05515711,1.0,0.09338175,-0.11720216,1.4433702,7.635215,-7.635215,0.07092659,1.0,0.0007337966442108154,605.5797097682953,150000
7.5700846,-7.5700846,0.05464416,1.0,0.06796951,-0.09351745,1.3783349,7.6488566,-7.6488566,0.07433714,1.0,0.0007319103240966797,609.2392642498016,155000
7.5478854,-7.5478854,0.04909423,1.0,0.069563046,-0.077351,1.282013,7.6294546,-7.6294546,0.06948657,1.0,0.0007252683162689209,612.8656089305878,160000
7.56001,-7.56001,0.05212553,1.0,0.112039,-0.08984851,1.4873201,7.641437,-7.641437,0.07248229,1.0,0.0007300507068634033,616.5158660411835,165000
7.5396204,-7.5396204,0.047028005,1.0,0.097952746,-0.07540472,1.263372,7.6511593,-7.6511593,0.074912794,1.0,0.000730204439163208,620.1668915748596,170000
7.5587015,-7.5587015,0.051798366,1.0,0.08408902,-0.090125956,1.3166023,7.663282,-7.663282,0.07794346,1.0,0.0007307298660278321,623.8205440044403,175000
7.5368156,-7.5368156,0.046326905,1.0,0.09859311,-0.08144908,1.3039474,7.6545897,-7.6545897,0.07577033,1.0,0.0007277577400207519,627.4593362808228,180000
7.5545206,-7.5545206,0.050753027,1.0,0.11318825,-0.11416777,1.5281736,7.640812,-7.640812,0.072325855,1.0,0.0007337615489959717,631.1281473636627,185000
7.5599823,-7.5599823,0.052118555,1.0,0.12255208,-0.118758865,1.4445438,7.6632576,-7.6632576,0.07793737,1.0,0.0007270669460296631,634.7634856700897,190000
7.5409746,-7.5409746,0.04736661,1.0,0.12519291,-0.07937636,1.3825904,7.6544514,-7.6544514,0.07573593,1.0,0.0007240299701690674,638.3836388587952,195000
7.5454054,-7.5454054,0.048474416,1.0,0.065736026,-0.07086669,1.3048686,7.6794853,-7.6794853,0.08199428,1.0,0.0007390453815460205,642.0788691043854,200000
7.552276,-7.552276,0.050192006,1.0,0.10398233,-0.11272194,1.4208386,7.648537,-7.648537,0.074257225,1.0,0.05111506767272949,897.6542110443115,205000
7.550564,-7.550564,0.049763836,1.0,0.09695758,-0.081839055,1.4147013,7.649329,-7.649329,0.07445541,1.0,0.0007335229873657226,901.3218295574188,210000
7.551511,-7.551511,0.050000668,1.0,0.08954437,-0.093777455,1.5080786,7.6573668,-7.6573668,0.07646468,1.0,0.0007365843772888183,905.0047545433044,215000
7.5405087,-7.5405087,0.047250204,1.0,0.1326782,-0.115951166,1.3858314,7.647435,-7.647435,0.07398172,1.0,0.0007361339569091796,908.6854276657104,220000
