training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7133107,-7.7133107,0.090450674,1.0,0.069306225,-0.0737605,1.9936609,7.746917,-7.746917,0.09885212,1.0,0.049895227098464966,249.47614574432373,5000
7.666338,-7.666338,0.07870746,1.0,0.08774935,-0.09406749,1.6357144,7.6842813,-7.6842813,0.08319318,1.0,0.0006998948574066163,252.97562336921692,10000
7.6519136,-7.6519136,0.07510141,1.0,0.063396774,-0.10204634,1.4915683,7.6506524,-7.6506524,0.07478614,1.0,0.0006993610382080078,256.47243213653564,15000
7.615981,-7.615981,0.06611817,1.0,0.07527597,-0.051674232,1.3176411,7.6392746,-7.6392746,0.07194157,1.0,0.0007039148807525635,259.99201011657715,20000
7.624934,-7.624934,0.06835647,1.0,0.04822837,-0.057220872,1.2032429,7.673012,-7.673012,0.080375895,1.0,0.0006997606754302979,263.49081683158875,25000
7.6096506,-7.6096506,0.06453551,1.0,0.08214791,-0.056708496,1.3053678,7.653486,-7.653486,0.07549443,1.0,0.0007013460636138917,266.99755096435547,30000
7.598176,-7.598176,0.061667085,1.0,0.081510544,-0.07349398,1.3099742,7.6557345,-7.6557345,0.076056555,1.0,0.0007044790744781494,270.5199499130249,35000
7.6049423,-7.6049423,0.063358545,1.0,0.07814896,-0.07691665,1.236733,7.6495132,-7.6495132,0.0745013,1.0,0.0007003449440002442,274.0216782093048,40000
7.5793877,-7.5793877,0.056969874,1.0,0.060424104,-0.09816361,1.2295122,7.6658993,-7.6658993,0.0785979,1.0,0.0007021526336669922,277.5324447154999,45000
7.5974855,-7.5974855,0.06149428,1.0,0.060436122,-0.055485513,1.1643183,7.6552005,-7.6552005,0.07592306,1.0,0.0007022201061248779,281.0435483455658,50000
7.5809393,-7.5809393,0.05735786,1.0,0.059529588,-0.09309126,1.2842085,7.632632,-7.632632,0.070280895,1.0,0.0007041220664978028,284.5641622543335,55000
7.5845737,-7.5845737,0.058266424,1.0,0.07057416,-0.06776911,1.2792879,7.631361,-7.631361,0.06996319,1.0,0.0007102672576904296,288.11550211906433,60000
7.584833,-7.584833,0.05833122,1.0,0.067042395,-0.1344175,1.3453708,7.6530027,-7.6530027,0.07537357,1.0,0.0006991068840026855,291.6110396385193,65000
7.5694637,-7.5694637,0.054488935,1.0,0.07460087,-0.07105375,1.3221203,7.6333513,-7.6333513,0.07046074,1.0,0.0007053588390350342,295.13783717155457,70000
7.5806093,-7.5806093,0.05727531,1.0,0.090895936,-0.069068074,1.1678611,7.620843,-7.620843,0.067333736,1.0,0.0007033307552337647,298.6544942855835,75000
7.5942926,-7.5942926,0.06069604,1.0,0.09512658,-0.08383794,1.3374722,7.6068583,-7.6068583,0.06383751,1.0,0.0007162902355194092,302.23594880104065,80000
7.5671625,-7.5671625,0.053913612,1.0,0.049630817,-0.07676742,1.122145,7.6460958,-7.6460958,0.07364686,1.0,0.0007035861968994141,305.753883600235,85000
7.5830393,-7.5830393,0.057882812,1.0,0.07958374,-0.059738696,1.224948,7.6294794,-7.6294794,0.06949283,1.0,0.0007123555183410644,309.3156645298004,90000
7.561956,-7.561956,0.05261199,1.0,0.070457056,-0.07751396,1.1529533,7.624292,-7.624292,0.06819588,1.0,0.0006986395835876464,312.80886602401733,95000
7.567245,-7.567245,0.053934265,1.0,0.08461071,-0.077341,1.2244458,7.6650343,-7.6650343,0.07838154,1.0,0.0007014538288116455,316.31613874435425,100000
7.5606794,-7.5606794,0.052292757,1.0,0.075034365,-0.07987306,1.3219565,7.6335063,-7.6335063,0.07049948,1.0,0.04436945967674255,538.1634402275085,105000
7.5755634,-7.5755634,0.056013778,1.0,0.10936181,-0.07709071,1.3547747,7.648904,-7.648904,0.07434885,1.0,0.0007336757659912109,541.8318228721619,110000
7.568755,-7.568755,0.054311786,1.0,0.054979425,-0.07172015,1.180647,7.634647,-7.634647,0.07078475,1.0,0.0007355127334594726,545.5093901157379,115000
7.5574627,-7.5574627,0.05148864,1.0,0.12075507,-0.063583285,1.3169837,7.662092,-7.662092,0.07764614,1.0,0.0007919489860534667,549.4691383838654,120000
7.5716963,-7.5716963,0.055047102,1.0,0.09913363,-0.08422404,1.3719244,7.646725,-7.646725,0.07380421,1.0,0.0007368060111999511,553.1531720161438,125000
7.5647373,-7.5647373,0.0533074,1.0,0.06537968,-0.11789789,1.2262692,7.65313,-7.65313,0.07540551,1.0,0.0007309965133666992,556.8081579208374,130000
7.564153,-7.564153,0.053161256,1.0,0.08852617,-0.051110446,1.1659597,7.6436005,-7.6436005,0.073023036,1.0,0.000730393362045288,560.4601285457611,135000
7.565183,-7.565183,0.053418785,1.0,0.08388557,-0.085625894,1.3270028,7.6273737,-7.6273737,0.06896629,1.0,0.0007732338428497314,564.3263008594513,140000
7.558927,-7.558927,0.051854663,1.0,0.06245725,-0.07802951,1.2540293,7.6469526,-7.6469526,0.07386112,1.0,0.0007260544300079346,567.9565768241882,145000
7.559964,-7.559964,0.052113917,1.0,0.06324785,-0.06400351,1.2443137,7.642572,-7.642572,0.07276597,1.0,0.00072933349609375,571.6032478809357,150000
