training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.6905303,-7.6905303,0.08475558,1.0,0.0790083,-0.06488566,1.7841183,7.708333,-7.708333,0.08920622,1.0,0.04974868836402893,248.74345326423645,5000
7.6623755,-7.6623755,0.07771669,1.0,0.05397753,-0.059660137,1.4753557,7.660093,-7.660093,0.07714614,1.0,0.0007003992080688476,252.2454526424408,10000
7.6589622,-7.6589622,0.0768634,1.0,0.0716795,-0.08033597,1.6656898,7.6904893,-7.6904893,0.084745295,1.0,0.0007026404857635498,255.75865840911865,15000
7.6027913,-7.6027913,0.06282082,1.0,0.08557761,-0.07376222,1.4355664,7.663656,-7.663656,0.07803708,1.0,0.0007009010791778564,259.26316833496094,20000
7.598958,-7.598958,0.061862506,1.0,0.101970375,-0.059351586,1.3173391,7.6514397,-7.6514397,0.07498287,1.0,0.0007037257671356201,262.7818009853363,25000
7.6066537,-7.6066537,0.06378637,1.0,0.052186202,-0.049867846,1.1518782,7.6823196,-7.6823196,0.0827029,1.0,0.0007010807991027832,266.28720808029175,30000
7.6080055,-7.6080055,0.06412433,1.0,0.06009835,-0.067473486,1.2670423,7.6223326,-7.6223326,0.0677062,1.0,0.0007022804737091065,269.79861402511597,35000
7.592396,-7.592396,0.060222,1.0,0.048601873,-0.06323302,1.1536301,7.6510096,-7.6510096,0.07487534,1.0,0.0006996249198913575,273.2967417240143,40000
7.582237,-7.582237,0.057682134,1.0,0.086739324,-0.058730155,1.2580796,7.6723194,-7.6723194,0.08020289,1.0,0.000702341365814209,276.808452129364,45000
7.5710897,-7.5710897,0.054895476,1.0,0.07124246,-0.07419489,1.2472022,7.6337934,-7.6337934,0.070571326,1.0,0.0007056503295898437,280.33670711517334,50000
7.57485,-7.57485,0.05583539,1.0,0.06595138,-0.06172985,1.286796,7.6280384,-7.6280384,0.06913264,1.0,0.0007044909477233887,283.85916543006897,55000
7.6001997,-7.6001997,0.062172934,1.0,0.08634539,-0.102887034,1.3948865,7.635621,-7.635621,0.07102826,1.0,0.0006994528293609619,287.3564329147339,60000
7.5935698,-7.5935698,0.06051536,1.0,0.07732255,-0.070573136,1.1781986,7.646899,-7.646899,0.07384774,1.0,0.0007001940250396728,290.8574068546295,65000
7.581992,-7.581992,0.057620943,1.0,0.05348449,-0.04811131,1.1468179,7.637174,-7.637174,0.07141654,1.0,0.0006990217208862305,294.35251903533936,70000
7.5802402,-7.5802402,0.057182908,1.0,0.066542104,-0.14645298,1.2855228,7.656418,-7.656418,0.07622743,1.0,0.0007004836082458496,297.8549404144287,75000
7.566875,-7.566875,0.05384174,1.0,0.06307483,-0.04433793,1.1845396,7.6447735,-7.6447735,0.07331632,1.0,0.0007013006210327148,301.361447095871,80000
7.5690465,-7.5690465,0.054384604,1.0,0.06925854,-0.07103953,1.1719239,7.6350956,-7.6350956,0.07089678,1.0,0.0007001729011535644,304.8623151779175,85000
7.581161,-7.581161,0.05741323,1.0,0.08433859,-0.0768806,1.2068458,7.6335917,-7.6335917,0.070520826,1.0,0.0006976292610168457,308.3504648208618,90000
7.5623026,-7.5623026,0.052698605,1.0,0.06181892,-0.05775862,1.1235427,7.6496367,-7.6496367,0.07453208,1.0,0.0006978788375854492,311.83986258506775,95000
7.5574694,-7.5574694,0.05149028,1.0,0.06947845,-0.061939865,1.1172521,7.6541767,-7.6541767,0.07566713,1.0,0.00070228271484375,315.351279258728,100000
7.5638423,-7.5638423,0.053083517,1.0,0.06470043,-0.068611175,1.1943325,7.6492577,-7.6492577,0.07443743,1.0,0.04726453609466553,551.6739633083344,105000
7.5629816,-7.5629816,0.052868333,1.0,0.08859629,-0.06376329,1.3352166,7.63013,-7.63013,0.06965543,1.0,0.0007325759410858155,555.336846113205,110000
7.571065,-7.571065,0.054889083,1.0,0.070127055,-0.0619033,1.246105,7.6311445,-7.6311445,0.0699091,1.0,0.0007279463291168213,558.9765810966492,115000
7.5427284,-7.5427284,0.04780502,1.0,0.051757388,-0.050456166,1.0224541,7.6270356,-7.6270356,0.068881825,1.0,0.0007315151691436768,562.6341605186462,120000
7.5599318,-7.5599318,0.052105807,1.0,0.08630018,-0.069320925,1.2531524,7.62572,-7.62572,0.06855287,1.0,0.0007306744575500488,566.287535905838,125000
7.551278,-7.551278,0.049942486,1.0,0.05989326,-0.07891641,1.1834953,7.638222,-7.638222,0.07167852,1.0,0.000722218656539917,569.8986320495605,130000
7.561374,-7.561374,0.052466486,1.0,0.05477732,-0.07457248,1.1806697,7.6526318,-7.6526318,0.07528082,1.0,0.0007282253742218018,573.5397617816925,135000
7.5532484,-7.5532484,0.050435044,1.0,0.077394836,-0.0870791,1.3175105,7.6314754,-7.6314754,0.06999177,1.0,0.0007309492111206054,577.1945109367371,140000
7.557755,-7.557755,0.051561728,1.0,0.07190891,-0.07481197,1.1864519,7.6438093,-7.6438093,0.07307534,1.0,0.0007281022071838379,580.8350255489349,145000
7.5684767,-7.5684767,0.054242104,1.0,0.09410428,-0.08124414,1.2815261,7.6282997,-7.6282997,0.06919785,1.0,0.0007377528667449952,584.5237934589386,150000
7.564869,-7.564869,0.053340163,1.0,0.08994546,-0.088596635,1.438211,7.6325283,-7.6325283,0.070255,1.0,0.00072945876121521,588.1710908412933,155000
7.557932,-7.557932,0.051605873,1.0,0.073302604,-0.06888788,1.1530101,7.6306143,-7.6306143,0.0697765,1.0,0.0007279244422912597,591.8107161521912,160000
7.534827,-7.534827,0.045829825,1.0,0.06439719,-0.044604663,1.0623364,7.6408777,-7.6408777,0.07234244,1.0,0.0007302042961120606,595.4617409706116,165000
7.550646,-7.550646,0.04978441,1.0,0.076576434,-0.091416724,1.258702,7.6417284,-7.6417284,0.072555006,1.0,0.0007421102046966553,599.172295331955,170000
7.557397,-7.557397,0.05147219,1.0,0.10076147,-0.060292564,1.1937476,7.6400404,-7.6400404,0.07213307,1.0,0.000729959774017334,602.8220975399017,175000
7.5530252,-7.5530252,0.050379258,1.0,0.07069776,-0.09957465,1.1720684,7.6546426,-7.6546426,0.0757836,1.0,0.0007289011955261231,606.466607093811,180000
7.5566316,-7.5566316,0.051280774,1.0,0.14260188,-0.11284817,1.3682362,7.660216,-7.660216,0.077176794,1.0,0.0007289978981018067,610.1115999221802,185000
7.556533,-7.556533,0.05125621,1.0,0.07956247,-0.056169704,1.2098776,7.640934,-7.640934,0.07235642,1.0,0.0007358521461486816,613.7908642292023,190000
7.563466,-7.563466,0.05298947,1.0,0.07064535,-0.11491079,1.3084297,7.637352,-7.637352,0.07146096,1.0,0.0007308714866638183,617.4452250003815,195000
7.550247,-7.550247,0.049684793,1.0,0.08093948,-0.08853709,1.2323905,7.6504936,-7.6504936,0.07474624,1.0,0.0007293692111968994,621.0920743942261,200000
