training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7733593,-7.7733593,0.10546274,1.0,0.082507074,-0.052989203,1.8744539,7.8114886,-7.8114886,0.11499511,1.0,0.049007049131393435,245.03525614738464,5000
7.724869,-7.724869,0.09334016,1.0,0.052196786,-0.056983635,1.4660006,7.74901,-7.74901,0.09937541,1.0,0.0006942800045013428,248.50665974617004,10000
7.690791,-7.690791,0.08482079,1.0,0.030798499,-0.03869158,1.2155021,7.723756,-7.723756,0.09306191,1.0,0.000693626070022583,251.97479391098022,15000
7.666086,-7.666086,0.07864444,1.0,0.059710726,-0.05001926,1.3493092,7.7207527,-7.7207527,0.09231119,1.0,0.0006919345378875732,255.4344699382782,20000
7.679801,-7.679801,0.08207323,1.0,0.038988106,-0.04269761,1.2704769,7.6763577,-7.6763577,0.08121233,1.0,0.0006991998195648193,258.9304721355438,25000
7.660204,-7.660204,0.07717393,1.0,0.04130754,-0.0400205,1.2024235,7.6775894,-7.6775894,0.08152047,1.0,0.0006962268352508545,262.41161012649536,30000
7.6626496,-7.6626496,0.07778531,1.0,0.047520284,-0.075155,1.3069427,7.6885715,-7.6885715,0.08426579,1.0,0.0006919065952301026,265.871146440506,35000
7.651887,-7.651887,0.075094685,1.0,0.051287115,-0.046004895,1.118526,7.6762524,-7.6762524,0.08118607,1.0,0.0006906481266021728,269.32439064979553,40000
7.651597,-7.651597,0.07502222,1.0,0.052941233,-0.04968534,1.2274305,7.6695566,-7.6695566,0.07951222,1.0,0.0006935566425323486,272.7921769618988,45000
7.614893,-7.614893,0.06584616,1.0,0.057021327,-0.044712726,1.1484022,7.6816397,-7.6816397,0.08253286,1.0,0.0006957398891448975,276.270879983902,50000
7.62624,-7.62624,0.06868289,1.0,0.050583657,-0.043286674,1.2598214,7.6524844,-7.6524844,0.075244136,1.0,0.0006963344097137451,279.7525556087494,55000
7.6209583,-7.6209583,0.06736249,1.0,0.043394834,-0.05116613,1.0945106,7.6813126,-7.6813126,0.082451135,1.0,0.0006919352054595947,283.21223497390747,60000
7.6165133,-7.6165133,0.06625131,1.0,0.058722507,-0.05506999,1.1090454,7.6774054,-7.6774054,0.08147439,1.0,0.0006967432498931885,286.69595432281494,65000
7.6298814,-7.6298814,0.069593355,1.0,0.03982142,-0.050010834,1.1587989,7.6614475,-7.6614475,0.07748489,1.0,0.0006954312324523926,290.1731140613556,70000
7.603008,-7.603008,0.062874936,1.0,0.054385934,-0.049310494,1.1911908,7.6794844,-7.6794844,0.081994094,1.0,0.0006897963523864746,293.6220989227295,75000
7.611925,-7.611925,0.06510431,1.0,0.040839955,-0.065379344,1.1538122,7.6992273,-7.6992273,0.08692979,1.0,0.0006959250450134278,297.1017277240753,80000
7.601531,-7.601531,0.06250577,1.0,0.074270256,-0.045701467,1.2292974,7.6873965,-7.6873965,0.083972014,1.0,0.0006950418949127197,300.57694029808044,85000
7.6093493,-7.6093493,0.06446029,1.0,0.043623127,-0.05035366,1.161318,7.682457,-7.682457,0.08273729,1.0,0.000688496446609497,304.01942586898804,90000
7.595406,-7.595406,0.060974486,1.0,0.0681167,-0.06782405,1.1177809,7.659693,-7.659693,0.0770461,1.0,0.0006951280117034912,307.4950692653656,95000
7.596806,-7.596806,0.061324507,1.0,0.041045185,-0.042852025,1.1453158,7.6668577,-7.6668577,0.07883749,1.0,0.0006919692039489746,310.9549186229706,100000
7.5953574,-7.5953574,0.06096231,1.0,0.04407752,-0.05781596,1.0686365,7.681409,-7.681409,0.082475215,1.0,0.04063402194976807,514.125031709671,105000
7.610662,-7.610662,0.06478847,1.0,0.054015003,-0.04286065,1.0856664,7.673136,-7.673136,0.08040698,1.0,0.0007251954555511475,517.7510125637054,110000
7.6106195,-7.6106195,0.06477781,1.0,0.056216735,-0.0544886,1.2087307,7.6703873,-7.6703873,0.07971972,1.0,0.0007245885372161865,521.3739585876465,115000
7.604689,-7.604689,0.063295245,1.0,0.060655545,-0.050381824,1.2476467,7.6886964,-7.6886964,0.084297016,1.0,0.0007173509120941162,524.9607164859772,120000
7.575085,-7.575085,0.055894226,1.0,0.0465052,-0.04651037,1.0273435,7.6654053,-7.6654053,0.07847433,1.0,0.0007237025260925292,528.5792324542999,125000
7.6001763,-7.6001763,0.062167015,1.0,0.05646921,-0.05038526,1.181455,7.677886,-7.677886,0.08159444,1.0,0.0007212681293487549,532.185576915741,130000
7.5875254,-7.5875254,0.059004363,1.0,0.061965223,-0.05644569,1.1386259,7.6878686,-7.6878686,0.084090084,1.0,0.0007273818016052246,535.8224890232086,135000
7.5966578,-7.5966578,0.061287485,1.0,0.048449956,-0.048931357,1.1619376,7.6850853,-7.6850853,0.083394304,1.0,0.0007275647163391113,539.4603161811829,140000
7.610601,-7.610601,0.06477321,1.0,0.051711053,-0.04342155,1.1594114,7.692337,-7.692337,0.08520725,1.0,0.0007229335784912109,543.0749871730804,145000
7.5907803,-7.5907803,0.059817962,1.0,0.047219016,-0.077131286,1.1927713,7.6967373,-7.6967373,0.08630728,1.0,0.0007254342555999756,546.7021622657776,150000
7.5890236,-7.5890236,0.05937878,1.0,0.047849502,-0.041176956,1.1940671,7.656931,-7.656931,0.07635579,1.0,0.0007265159606933593,550.3347458839417,155000
7.59048,-7.59048,0.05974294,1.0,0.046097796,-0.056703445,1.1231817,7.6958294,-7.6958294,0.08608031,1.0,0.0007293753147125244,553.981626033783,160000
7.5903883,-7.5903883,0.059719957,1.0,0.055241555,-0.044036504,1.1992905,7.691326,-7.691326,0.084954515,1.0,0.0007248127460479736,557.6056933403015,165000
7.587825,-7.587825,0.05907926,1.0,0.043308593,-0.049213022,1.1599408,7.691128,-7.691128,0.08490489,1.0,0.0007226129055023194,561.2187609672546,170000
7.5754404,-7.5754404,0.05598314,1.0,0.044031646,-0.044094972,1.1021076,7.710517,-7.710517,0.08975224,1.0,0.0007228983879089356,564.833256483078,175000
7.564244,-7.564244,0.053183958,1.0,0.051055413,-0.07854488,1.1294646,7.6797557,-7.6797557,0.082061924,1.0,0.0007179933547973633,568.4232263565063,180000
7.569497,-7.569497,0.05449721,1.0,0.04276078,-0.052882127,1.106454,7.685369,-7.685369,0.08346517,1.0,0.0007177023887634278,572.0117416381836,185000
