training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
5.4267116,-5.4267116,0.2538171,1.0,3.3643148,-1.0269682,28.901453,5.3217726,-5.3217726,0.25082207,1.0,0.05867170367240906,293.3585298061371,5000
3.4673455,-3.4673455,0.17155826,1.0,3.127639,-5.346466,77.146515,3.6583219,-3.6583219,0.17912318,1.0,0.0007819447040557861,297.2682569026947,10000
2.710505,-2.710505,0.14669329,1.0,1.4495188,-1.201545,34.404167,3.028675,-3.028675,0.1496594,1.0,0.0007997145652770996,301.2668330669403,15000
2.4431343,-2.4431343,0.13486753,1.0,2.2603798,-3.017387,42.207203,2.4495826,-2.4495826,0.13207477,1.0,0.0007890928268432617,305.2123005390167,20000
1.7663407,-1.7663407,0.118987076,1.0,1.570721,-0.78055155,30.196682,2.1530228,-2.1530228,0.12795737,1.0,0.0007899289131164551,309.16194915771484,25000
1.6731253,-1.6731253,0.115563296,1.0,2.6789854,-2.0606208,39.409214,2.2331061,-2.2331061,0.1260503,1.0,0.0007953756332397461,313.13883113861084,30000
1.8677378,-1.8677378,0.12083836,1.0,2.3244646,-2.81063,46.186806,1.937996,-1.937996,0.11811227,1.0,0.000795524024963379,317.116455078125,35000
1.7256075,-1.7256075,0.115899146,1.0,2.053183,-1.6264026,35.048798,1.9979681,-1.9979681,0.11943871,1.0,0.0007951189041137696,321.0920534133911,40000
1.3448923,-1.3448923,0.10486664,1.0,1.6323904,-1.6426357,32.99784,1.900872,-1.900872,0.12184261,1.0,0.0008064036846160889,325.12407517433167,45000
1.574075,-1.574075,0.10939226,1.0,1.5542884,-1.914605,39.164135,1.8133882,-1.8133882,0.11457139,1.0,0.0007875158309936524,329.0616581439972,50000
1.3817053,-1.3817053,0.10976656,1.0,1.147856,-1.1187005,28.352848,1.6465151,-1.6465151,0.11444835,1.0,0.000778037691116333,332.95185017585754,55000
1.213031,-1.213031,0.102405205,1.0,2.5321925,-1.3709785,34.458073,1.822063,-1.822063,0.11458523,1.0,0.0007882826328277588,336.89326667785645,60000
1.3308582,-1.3308582,0.10834132,1.0,2.1281006,-1.7590864,36.83705,1.7605573,-1.7605573,0.11303274,1.0,0.0008019674301147461,340.9031069278717,65000
1.3077182,-1.3077182,0.104509905,1.0,2.426919,-1.2622759,35.22809,1.6129007,-1.6129007,0.11114223,1.0,0.0007938525199890137,344.87237334251404,70000
1.5529455,-1.5529455,0.11309624,1.0,1.8853852,-2.974213,37.996437,1.7079158,-1.7079158,0.11162772,1.0,0.0007903605461120606,348.8241801261902,75000
1.3876702,-1.3876702,0.10986875,1.0,1.3722547,-2.5983407,35.214626,1.6317471,-1.6317471,0.111117065,1.0,0.0007969632625579834,352.80900025367737,80000
1.3308306,-1.3308306,0.106645405,1.0,2.5474722,-1.2485853,30.799276,1.7329347,-1.7329347,0.11072248,1.0,0.0008015322208404541,356.81666469573975,85000
1.2561986,-1.2561986,0.10381959,1.0,2.0253727,-1.373762,34.772827,1.5593908,-1.5593908,0.108377874,1.0,0.0007795201301574708,360.7142686843872,90000
1.235617,-1.235617,0.099048056,1.0,1.573384,-3.2602415,37.93705,1.521987,-1.521987,0.10757549,1.0,0.000790237045288086,364.66545724868774,95000
1.3484405,-1.3484405,0.10580853,1.0,1.8453623,-2.2636027,37.512157,1.8825892,-1.8825892,0.109634496,1.0,0.0007902805328369141,368.61686396598816,100000
1.440191,-1.440191,0.108011186,1.0,2.5652745,-1.7023938,35.37384,1.3520095,-1.3520095,0.10168504,1.0,0.057738328504562376,657.3085100650787,105000
1.3395357,-1.3395357,0.10290079,1.0,3.281695,-2.1242156,33.460003,1.547502,-1.547502,0.10939422,1.0,0.000865843677520752,661.6377317905426,110000
1.3931954,-1.3931954,0.10623876,1.0,2.0195227,-1.295138,30.198847,1.7530643,-1.7530643,0.11005517,1.0,0.0008589490413665772,665.9324810504913,115000
1.2234863,-1.2234863,0.104424715,1.0,1.760227,-1.7391071,34.753483,1.3554513,-1.3554513,0.10440384,1.0,0.0008556884765625,670.2109270095825,120000
1.2947822,-1.2947822,0.106405556,1.0,1.9419277,-2.093328,35.56148,1.5544628,-1.5544628,0.109912716,1.0,0.0008429257869720459,674.4255595207214,125000
1.1375086,-1.1375086,0.099965364,1.0,3.0215776,-1.8504562,35.069237,1.9341432,-1.9341432,0.113852784,1.0,0.0008414045333862305,678.6325857639313,130000
1.095893,-1.095893,0.096185505,1.0,2.3068147,-2.5143604,34.526157,1.8112512,-1.8112512,0.11049345,1.0,0.0008384101867675781,682.8246414661407,135000
