training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
7.8520875,-4.5071983,109.9637,364.42316,2.1481652,-9.910589,0.14424103,1.0,117.89336,0.2247786,-7.7606516,0.10228585,1.0,0.0025551864,-16.0746,-27.040905,0.46743676,354.58246,2.1686456,-9.914052,0.14493333,1.0,128.01994,0.23558266,-7.7829885,0.10787013,1.0,0.01649324,-15.812288,-27.116367,0.45495284,0.12645845136642456,632.2922685146332,5000
6.319616,-7.5053067,173.15591,491.75867,2.717617,-9.899816,0.14208613,1.0,167.86122,0.29127064,-7.695815,0.08607675,1.0,0.17054784,-22.176521,-43.41405,1.027078,513.133,2.9499278,-9.875712,0.13726544,1.0,168.55142,0.14795892,-7.7390046,0.09687407,1.0,0.11439128,-22.433987,-43.406616,0.8147941,0.0036095550060272217,650.3400473594666,10000
7.221086,-3.206391,147.90031,555.3182,3.004825,-9.732064,0.10853577,1.0,169.1913,0.32139906,-7.688507,0.0842497,1.0,0.1071188,-24.00024,-56.240253,0.8613211,523.2096,2.7506843,-9.736275,0.109377936,1.0,165.50946,0.24957135,-7.7160616,0.09113827,1.0,0.13349023,-24.678005,-56.122826,0.7983383,0.0035580004692077638,668.1300535202026,15000
5.5382366,-4.2589736,176.25641,572.0408,3.3931742,-9.731206,0.10836422,1.0,186.09976,0.29501754,-7.6598425,0.07708356,1.0,0.1830788,-27.587162,-65.46799,1.6033688,562.3152,3.3377724,-9.768221,0.11576712,1.0,192.845,0.2798348,-7.697935,0.08660681,1.0,0.1293043,-27.049652,-65.49072,1.2660598,0.0035635986328125,685.9480509757996,20000
9.111369,-9.865671,263.48428,590.9447,3.439266,-9.814867,0.12509637,1.0,198.27792,0.35628918,-7.679022,0.08187842,1.0,0.07350124,-28.256592,-72.45376,1.273235,566.5055,3.2767892,-9.815851,0.12529324,1.0,203.2623,0.32774243,-7.7210827,0.09239364,1.0,0.0977319,-28.510841,-72.28435,1.2702764,0.0035648836135864256,703.772472858429,25000
2.9337022,-4.4193473,156.4578,554.6977,3.3098745,-9.759498,0.114022546,1.0,165.92221,0.2920107,-7.6502957,0.07469692,1.0,0.09272869,-28.2293,-78.3114,1.6220098,547.9869,3.2119083,-9.815709,0.12526466,1.0,175.90306,0.30909705,-7.6906834,0.08479386,1.0,0.08529113,-28.489029,-78.47442,1.2310895,0.003567025423049927,721.6076049804688,30000
4.332129,-6.6758366,183.86409,570.1646,3.6304772,-9.836506,0.12942396,1.0,184.06894,0.31379724,-7.692045,0.0851343,1.0,0.050450575,-31.824123,-83.329796,1.6596184,584.0587,4.071116,-9.797668,0.12165647,1.0,186.2161,0.3947329,-7.675927,0.08110478,1.0,0.056057684,-30.174267,-83.46663,1.3559991,0.003596971416473389,739.5924677848816,35000
13.69549,-9.476577,237.04352,571.69434,2.9608858,-9.865318,0.13518666,1.0,197.4973,0.36113626,-7.6387186,0.07180263,1.0,0.25716954,-33.346542,-87.421936,1.7506584,592.2986,3.8945212,-9.846207,0.13136415,1.0,210.4361,0.38020405,-7.6679516,0.079110846,1.0,0.23491749,-31.536081,-87.65596,1.6732247,0.00359318470954895,757.5583968162537,40000
5.2500625,-5.171427,174.12897,556.5276,3.4537263,-9.781565,0.11843604,1.0,172.41519,0.34537697,-7.6390376,0.07188241,1.0,0.13833657,-33.149868,-90.669464,1.4838476,615.02185,4.1148906,-9.841241,0.13037117,1.0,182.61172,0.316569,-7.6949635,0.0858637,1.0,0.13648906,-32.45923,-90.637085,1.9892166,0.0036165082931518553,775.6409420967102,45000
7.594414,-5.3927827,179.67883,589.37164,3.847272,-9.731217,0.10836651,1.0,180.9245,0.38833305,-7.6422257,0.072679326,1.0,0.1348241,-33.619156,-93.82913,1.6091064,611.6663,3.9180088,-9.824534,0.12702982,1.0,185.68658,0.40439564,-7.709448,0.08948499,1.0,0.11145724,-32.66078,-93.631256,1.8419092,0.003770063877105713,794.4912650585175,50000
4.079631,-5.210565,199.86993,589.29047,3.5160394,-9.807896,0.12370217,1.0,208.49709,0.49186254,-7.6369762,0.07136698,1.0,0.14514342,-32.11956,-95.39537,1.5827892,599.6455,4.2732825,-9.86927,0.13597701,1.0,207.95715,0.38856685,-7.679146,0.08190932,1.0,0.118116856,-33.137947,-95.51175,2.062943,0.0035995594024658202,812.489068031311,55000
9.427709,-5.3672657,207.29083,615.2179,3.8354702,-9.804736,0.12307023,1.0,195.08018,0.38985658,-7.6355877,0.07101988,1.0,0.15699767,-34.00893,-97.08308,1.5959997,592.83716,4.057704,-9.822346,0.1265921,1.0,196.30087,0.39165816,-7.7007837,0.08731882,1.0,0.00017086789,-33.08028,-97.02804,2.485715,0.0036201636791229246,830.5898911952972,60000
5.7648387,-5.0954914,173.62729,602.889,4.134088,-9.796474,0.12141774,1.0,167.17195,0.31854948,-7.650117,0.074652135,1.0,0.10380831,-33.92247,-98.32776,1.5600934,591.8544,3.7713487,-9.884651,0.1390533,1.0,195.21388,0.38805702,-7.6803136,0.082201436,1.0,0.08695096,-33.513153,-98.79318,1.9914507,0.003677064275741577,848.9752173423767,65000
5.6007237,-10.868271,168.31815,588.1098,3.7198725,-9.860662,0.13425553,1.0,169.7288,0.3125916,-7.610192,0.06467095,1.0,0.07115118,-33.123756,-99.93878,1.4346201,612.6577,3.9650903,-9.835337,0.12919022,1.0,189.15309,0.34716147,-7.671443,0.079983786,1.0,0.10700531,-33.839897,-99.16894,1.8303175,0.0038714326381683348,868.3323845863342,70000
7.4943666,-9.899907,206.1415,612.04767,3.8870504,-9.819169,0.1259567,1.0,190.31274,0.34830213,-7.622102,0.06764837,1.0,0.1471482,-33.627144,-100.502266,2.4917636,593.53125,3.5717897,-9.889392,0.1400014,1.0,196.86696,0.42968097,-7.67187,0.08009058,1.0,0.06602745,-34.647697,-100.67178,2.0978441,0.0037820754528045653,887.2427656650543,75000
4.4643903,-8.316694,195.55235,605.32874,3.7165866,-9.751252,0.112373404,1.0,194.94643,0.44904083,-7.615478,0.065992445,1.0,0.24881846,-34.18925,-101.7567,1.2833402,592.92224,3.642829,-9.86517,0.13515694,1.0,200.3382,0.29396516,-7.6962504,0.08618553,1.0,0.23530634,-34.60412,-101.34247,1.9507207,0.0036573553085327147,905.5295462608337,80000
7.661471,-12.371957,187.27829,601.7937,3.7961361,-9.763239,0.11477079,1.0,183.93121,0.3630386,-7.61501,0.06587537,1.0,0.11044077,-35.475143,-101.98181,1.3135614,599.4993,3.7922535,-9.776594,0.11744185,1.0,177.74385,0.32883763,-7.6888237,0.08432898,1.0,0.07828061,-32.261356,-102.24431,1.8446207,0.0036207327365875243,923.6332144737244,85000
8.40136,-5.6489096,170.16087,613.2594,4.220294,-9.741949,0.11051271,1.0,197.3566,0.48906767,-7.6175785,0.06651765,1.0,0.22222395,-35.814262,-102.46738,1.4564613,623.0311,4.1568,-9.873233,0.13676949,1.0,183.80678,0.3424049,-7.697874,0.08659145,1.0,0.36803055,-35.688843,-102.588554,1.8288248,0.0035570598602294922,941.4185178279877,90000
4.5314903,-5.010832,177.55331,607.8911,3.8625898,-9.758057,0.1137342,1.0,163.2644,0.36254525,-7.629072,0.06939102,1.0,0.06647139,-34.66037,-102.0414,1.5790501,597.18994,3.1181912,-9.827297,0.12758245,1.0,179.7691,0.37220776,-7.6847644,0.08331406,1.0,0.08071381,-33.237984,-102.07448,1.7516403,0.003554602241516113,959.1915330886841,95000
7.1762147,-6.5386467,218.11902,626.51306,4.1676154,-9.659832,0.09408948,1.0,165.73093,0.3961124,-7.614312,0.06570102,1.0,0.30099642,-34.870342,-101.651344,1.6239059,617.90936,3.8890445,-9.820229,0.12616873,1.0,183.95914,0.3961901,-7.685793,0.08357129,1.0,0.28084302,-35.204815,-103.14385,2.1071877,0.003754931402206421,977.9661958217621,100000
3.8755577,-8.874379,159.21713,636.0196,4.36247,-9.717726,0.10566809,1.0,197.50845,0.46385038,-7.608988,0.06436984,1.0,0.122118264,-36.096107,-102.48341,1.2013333,613.14874,3.8984547,-9.800938,0.12231044,1.0,211.3497,0.4428402,-7.6670218,0.07887825,1.0,0.10273816,-33.242527,-103.46069,2.112131,0.036663226222991945,1161.282330751419,105000
6.9424877,-11.281884,212.5247,600.3076,3.3317325,-9.744027,0.11092836,1.0,182.78407,0.37189686,-7.589777,0.059567124,1.0,0.11937904,-34.29148,-102.546585,1.9818149,624.7804,3.9417748,-9.80557,0.12323701,1.0,199.70389,0.42565003,-7.6935067,0.085499555,1.0,0.084240355,-34.077003,-102.62091,1.6199334,0.00357269926071167,1179.1458323001862,110000
7.1079426,-4.8785124,184.07492,610.5189,4.042836,-9.726355,0.10739404,1.0,178.60938,0.39144057,-7.628047,0.06913471,1.0,0.17067227,-34.451088,-102.80995,1.8001633,618.38904,3.7717762,-9.855533,0.13322961,1.0,168.06494,0.341538,-7.6695685,0.07951507,1.0,0.28439286,-35.49997,-102.96892,1.77121,0.0035783428192138673,1197.0375509262085,115000
6.420209,-17.86189,230.9747,586.33386,3.548626,-9.839988,0.13012047,1.0,162.60046,0.2414031,-7.6198854,0.06709429,1.0,0.1405919,-35.058586,-102.20198,3.3758588,595.8484,3.477261,-9.878362,0.1377954,1.0,194.648,0.41604695,-7.7036934,0.08804631,1.0,0.11327702,-35.04029,-103.43378,2.0373363,0.0036087219715118407,1215.0811643600464,120000
5.787129,-8.125882,187.5589,623.6721,4.0544643,-9.7325535,0.10863358,1.0,193.60687,0.3646983,-7.6137466,0.065559566,1.0,0.19262601,-35.441704,-102.88256,1.1796236,618.63556,3.8970494,-9.791161,0.12035521,1.0,199.61609,0.51689243,-7.6668835,0.07884385,1.0,0.14508411,-34.936314,-101.60491,1.5155756,0.0036889933586120604,1233.526135444641,125000
6.428282,-7.882044,179.36661,621.39343,4.081608,-9.7358055,0.109284,1.0,193.63156,0.40851647,-7.603014,0.062876515,1.0,0.03250292,-35.222164,-102.67509,1.8528632,621.9453,3.872571,-9.757071,0.113537244,1.0,190.39537,0.4416324,-7.661709,0.07755028,1.0,0.044296693,-34.99298,-102.33081,2.276054,0.0035498032093048094,1251.2751553058624,130000
7.995815,-9.690314,255.98842,634.8645,4.171447,-9.8038845,0.12290008,1.0,178.68661,0.35009527,-7.6070666,0.06388965,1.0,-0.04892464,-36.369896,-102.212265,2.1252759,602.8101,3.4902198,-10.028602,0.16784328,1.0,202.31146,0.41958934,-7.6843586,0.0832127,1.0,-0.06217004,-34.204216,-102.453415,2.2324724,0.003533659839630127,1268.9434583187103,135000
5.1391807,-16.156229,188.6628,608.4022,3.6335752,-9.777826,0.11768837,1.0,190.20712,0.38403597,-7.5965123,0.061251096,1.0,0.06525853,-35.805008,-102.320984,1.9957488,598.4737,3.6008286,-9.8726015,0.13664334,1.0,203.02232,0.3579344,-7.7079115,0.08910072,1.0,0.06974732,-35.01191,-102.86908,2.4054654,0.0035495535373687745,1286.6912302970886,140000
14.09993,-8.155948,211.86473,618.934,4.250863,-9.629076,0.087938,1.0,193.83452,0.45612615,-7.60184,0.0625829,1.0,0.092942715,-34.191093,-102.58098,1.4959135,622.69366,4.2294154,-9.76184,0.11449083,1.0,186.68097,0.3049183,-7.6845484,0.083260015,1.0,0.08806001,-34.455505,-101.794525,1.7398396,0.0036017248153686525,1304.6998584270477,145000
9.096013,-3.6565413,224.14934,624.12915,4.115034,-9.645006,0.09112408,1.0,187.80702,0.43340138,-7.605117,0.06340209,1.0,0.14683175,-35.41756,-102.45187,1.9127498,614.875,3.9929974,-9.793827,0.12088841,1.0,179.45699,0.2727175,-7.6961436,0.08615878,1.0,0.050552968,-34.42342,-101.8522,2.3178284,0.0035838330745697022,1322.6190283298492,150000
9.689847,-6.8224792,205.44194,605.6865,3.9055963,-9.72671,0.10746504,1.0,175.56229,0.26164144,-7.620057,0.067137316,1.0,0.071096286,-34.612587,-102.13114,1.7890756,645.6682,4.8138857,-9.793204,0.12076385,1.0,199.29791,0.44615722,-7.710468,0.08973992,1.0,0.069487005,-33.996506,-102.07565,2.9465272,0.0035876233577728273,1340.5571489334106,155000
4.626636,-5.5955024,171.81604,628.3185,4.404885,-9.677473,0.09761752,1.0,196.73953,0.50345093,-7.611436,0.064982004,1.0,0.06599133,-35.453873,-102.15612,1.6075939,601.1874,3.7767673,-9.788982,0.119919516,1.0,204.55568,0.41097522,-7.7038746,0.088091604,1.0,0.031868517,-34.100574,-101.536156,2.851676,0.003569113111495972,1358.4027183055878,160000
