training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7790766,-7.7790766,0.10689212,1.0,0.09756217,-0.07932274,2.2376661,7.777237,-7.777237,0.10643224,1.0,0.04945270638465881,247.26354217529297,5000
7.6967654,-7.6967654,0.08631437,1.0,0.0872179,-0.12389302,1.9681787,7.733221,-7.733221,0.09542822,1.0,0.000690256118774414,250.71482634544373,10000
7.682913,-7.682913,0.082851075,1.0,0.086048834,-0.12022844,1.6626241,7.712743,-7.712743,0.09030861,1.0,0.0006859637260437012,254.14464855194092,15000
7.663412,-7.663412,0.0779759,1.0,0.2792144,-0.0919898,1.8110493,7.724966,-7.724966,0.09336445,1.0,0.0006908978939056396,257.5991415977478,20000
7.6414223,-7.6414223,0.07247858,1.0,0.20054826,-0.10710228,1.6398671,7.7071505,-7.7071505,0.08891056,1.0,0.0006891951560974121,261.04512095451355,25000
7.6414857,-7.6414857,0.07249442,1.0,0.15048951,-0.09286033,1.4095037,7.67463,-7.67463,0.080780506,1.0,0.0006898624897003174,264.49443650245667,30000
7.6317697,-7.6317697,0.070065394,1.0,0.0945382,-0.07835712,1.4476233,7.658059,-7.658059,0.076637626,1.0,0.0006873956203460694,267.9314181804657,35000
7.620124,-7.620124,0.067153946,1.0,0.13169228,-0.17303006,1.5071669,7.6802454,-7.6802454,0.08218439,1.0,0.0006900768756866455,271.38180589675903,40000
7.592458,-7.592458,0.060237408,1.0,0.18135458,-0.07904507,1.3904538,7.6574535,-7.6574535,0.07648641,1.0,0.0006864918231964111,274.8142685890198,45000
7.5994396,-7.5994396,0.061982866,1.0,0.071607426,-0.25696883,1.3977572,7.666415,-7.666415,0.078726694,1.0,0.0006923881530761719,278.2762129306793,50000
7.5969663,-7.5969663,0.06136455,1.0,0.14896686,-0.08148247,1.307159,7.6814437,-7.6814437,0.08248387,1.0,0.0006935160636901855,281.74379658699036,55000
7.608235,-7.608235,0.0641817,1.0,0.17385411,-0.22441301,1.8203076,7.677107,-7.677107,0.08139965,1.0,0.0006885486125946045,285.18654346466064,60000
7.5991783,-7.5991783,0.061917633,1.0,0.17029136,-0.0848057,1.5631236,7.6785574,-7.6785574,0.081762314,1.0,0.00068714280128479,288.6222608089447,65000
7.5941725,-7.5941725,0.06066602,1.0,0.08664049,-0.09314804,1.3753031,7.6914425,-7.6914425,0.08498372,1.0,0.0006862111091613769,292.0533199310303,70000
7.5965753,-7.5965753,0.0612669,1.0,0.17712168,-0.116349824,1.7124417,7.6750717,-7.6750717,0.080890946,1.0,0.0006868381023406983,295.48751401901245,75000
