training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.782689,-7.782689,0.10779521,1.0,0.23277901,-0.10150228,2.238307,7.8001146,-7.8001146,0.11215171,1.0,0.049764022016525265,248.82012128829956,5000
7.6831846,-7.6831846,0.08291915,1.0,0.10049978,-0.13318089,1.6743772,7.7329817,-7.7329817,0.09536831,1.0,0.0006920671939849854,252.28046083450317,10000
7.6663294,-7.6663294,0.07870522,1.0,0.11873196,-0.1030327,1.6979132,7.696599,-7.696599,0.08627278,1.0,0.0006867716312408447,255.71432256698608,15000
7.6566515,-7.6566515,0.076285794,1.0,0.12510817,-0.056673687,1.4317896,7.706487,-7.706487,0.088744774,1.0,0.0006842238903045654,259.135445356369,20000
7.650712,-7.650712,0.074801035,1.0,0.12824465,-0.13902088,1.4164798,7.6892376,-7.6892376,0.08443236,1.0,0.0006943518161773682,262.60720801353455,25000
7.6154943,-7.6154943,0.06599647,1.0,0.19029656,-0.1967183,1.88269,7.6889553,-7.6889553,0.08436186,1.0,0.0006929682731628418,266.07205271720886,30000
7.619642,-7.619642,0.06703341,1.0,0.105006464,-0.14757496,1.5325779,7.681579,-7.681579,0.08251776,1.0,0.0006962847232818603,269.55347990989685,35000
7.618831,-7.618831,0.06683068,1.0,0.18001823,-0.2006945,1.7263929,7.68571,-7.68571,0.08355039,1.0,0.0006914223670959473,273.01059556007385,40000
7.6124973,-7.6124973,0.06524731,1.0,0.16950478,-0.31413078,1.7728676,7.676122,-7.676122,0.081153475,1.0,0.0006869153022766114,276.445175409317,45000
7.6253247,-7.6253247,0.06845412,1.0,0.17011674,-0.11105666,1.5239116,7.684806,-7.684806,0.08332443,1.0,0.0007088600635528564,279.98947930336,50000
7.6122947,-7.6122947,0.06519662,1.0,0.29043654,-0.122420244,1.8490603,7.684305,-7.684305,0.08319918,1.0,0.0006957021236419677,283.46799325942993,55000
7.597997,-7.597997,0.061622296,1.0,0.2274084,-0.12602234,1.5798601,7.6649733,-7.6649733,0.07836632,1.0,0.0007050548553466796,286.993271112442,60000
7.6030807,-7.6030807,0.062893234,1.0,0.07231685,-0.19153588,1.4738938,7.6664085,-7.6664085,0.078725204,1.0,0.0006867218971252442,290.42688393592834,65000
7.589983,-7.589983,0.059618793,1.0,0.08753019,-0.0973334,1.3422477,7.670829,-7.670829,0.07983013,1.0,0.0006949514389038086,293.90164518356323,70000
7.612321,-7.612321,0.065203175,1.0,0.073626876,-0.110466495,1.3280575,7.6734004,-7.6734004,0.080473065,1.0,0.0006969643592834473,297.3864698410034,75000
7.6125884,-7.6125884,0.06527005,1.0,0.34640786,-0.4358244,2.3515296,7.677518,-7.677518,0.0815025,1.0,0.0006902607917785644,300.8377776145935,80000
7.5941668,-7.5941668,0.060664617,1.0,0.145062,-0.25760433,1.5634767,7.6535635,-7.6535635,0.07551393,1.0,0.0006908413410186767,304.29198813438416,85000
7.5960617,-7.5960617,0.06113837,1.0,0.16891144,-0.118348226,1.5361056,7.6710267,-7.6710267,0.0798797,1.0,0.0006915515899658203,307.74974966049194,90000
7.5922203,-7.5922203,0.060178127,1.0,0.22206798,-0.06419448,1.3635508,7.675007,-7.675007,0.080874704,1.0,0.0007012537479400635,311.25602197647095,95000
7.590172,-7.590172,0.059665885,1.0,0.20578669,-0.1748087,1.5772123,7.6525345,-7.6525345,0.075256616,1.0,0.0006861924171447754,314.68698835372925,100000
7.577674,-7.577674,0.056541525,1.0,0.08215299,-0.129153,1.370204,7.680829,-7.680829,0.08233032,1.0,0.043397719049453734,531.6755874156952,105000
7.594788,-7.594788,0.060819957,1.0,0.13032208,-0.096063316,1.5027441,7.668808,-7.668808,0.07932492,1.0,0.0007290206909179687,535.3206949234009,110000
7.5818076,-7.5818076,0.05757486,1.0,0.11306391,-0.111736715,1.373166,7.6961117,-7.6961117,0.08615092,1.0,0.0007326786994934082,538.9840919971466,115000
7.5805483,-7.5805483,0.05725996,1.0,0.23711687,-0.18567787,1.6283679,7.673265,-7.673265,0.080439195,1.0,0.0007273373603820801,542.6207826137543,120000
7.59704,-7.59704,0.061383024,1.0,0.28222018,-0.23563273,1.6892366,7.690783,-7.690783,0.08481872,1.0,0.0007280380725860595,546.2609767913818,125000
7.583317,-7.583317,0.057952262,1.0,0.15137509,-0.17756976,1.7375642,7.663275,-7.663275,0.07794163,1.0,0.0007260523319244385,549.8912420272827,130000
7.586762,-7.586762,0.05881345,1.0,0.16674326,-0.06674694,1.4037032,7.66119,-7.66119,0.07742048,1.0,0.0007372116565704346,553.5773034095764,135000
7.5899096,-7.5899096,0.059600417,1.0,0.24533442,-0.16888098,1.5713096,7.663151,-7.663151,0.077910766,1.0,0.0007500333786010742,557.3274738788605,140000
7.5836625,-7.5836625,0.058038622,1.0,0.096646376,-0.11254019,1.4177889,7.640167,-7.640167,0.07216487,1.0,0.0007297894954681396,560.9764249324799,145000
