training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.4895425,-3.9204183,184.07489,289.56403,1.1152697,-10.204945,0.20311196,1.0,424.48248,0.346421,-20.556795,0.11991297,1.0,0.18740496,-15.230103,-24.776196,0.8607669,297.95593,1.2906271,-10.152828,0.19268854,1.0,403.33215,0.3152349,-20.540146,0.11832748,1.0,0.18749434,-15.34473,-24.796946,0.9300771,0.22245356440544128,1112.267832517624,5000
3.2411344,-3.723866,201.51782,393.23126,1.6090808,-9.87532,0.13718693,1.0,481.0202,0.38601473,-20.382198,0.10328479,1.0,0.013602331,-21.702435,-41.450054,0.89523536,399.35767,1.5766973,-9.815431,0.12520921,1.0,517.6,0.48671392,-20.40234,0.10520295,1.0,0.048292987,-22.365582,-41.46254,0.66032755,0.003702393198013306,1130.7798035144806,10000
4.072134,-6.8519306,180.31403,436.53003,1.821366,-9.587659,0.07965475,1.0,471.83884,0.4383787,-20.311218,0.09652469,1.0,0.07828303,-25.899958,-53.93943,0.7273152,463.9566,1.9014475,-9.595779,0.08127891,1.0,506.35043,0.4817648,-20.304077,0.09584468,1.0,0.06434785,-26.353989,-53.913834,0.7884811,0.0037024471282958984,1149.2920429706573,15000
2.1316133,-2.3666759,80.46279,453.2296,1.1852539,-9.311112,0.0243455,1.0,147.55202,0.16143158,-20.253742,0.09105095,1.0,0.26507825,-16.722832,-50.454235,0.45609713,470.36392,1.4177094,-9.309084,0.023939952,1.0,131.98378,0.11125352,-20.274027,0.09298275,1.0,0.22154444,-17.851995,-49.90148,0.46126476,0.003703516674041748,1167.8096313476562,20000
3.5782506,-4.153072,156.6043,490.2959,2.3681593,-9.409527,0.044028405,1.0,440.81833,0.45548385,-20.233063,0.08908122,1.0,0.16244267,-29.206287,-62.831844,0.7337815,492.57574,2.3968387,-9.422861,0.04669517,1.0,466.90515,0.4602701,-20.273514,0.09293374,1.0,0.14029518,-30.464703,-62.87278,0.7582489,0.003711273145675659,1186.3660008907318,25000
5.5587554,-4.229332,160.50641,413.90765,1.5907409,-9.409954,0.04411369,1.0,557.2299,0.5662671,-20.244484,0.09016899,1.0,0.0002956763,-24.970955,-53.70407,0.5872015,424.5357,1.7379227,-9.393258,0.0407747,1.0,547.83466,0.60202426,-20.272997,0.09288464,1.0,0.055212066,-24.260057,-54.98739,0.5607532,0.003706094932556152,1204.8964796066284,30000
5.4069757,-5.4549484,238.62401,485.2622,2.210271,-9.398325,0.04178786,1.0,681.38135,0.66697717,-20.19634,0.08558391,1.0,0.2678278,-29.988342,-64.99965,1.2138714,478.06415,2.345572,-9.409168,0.04395649,1.0,704.1654,0.6885573,-20.248781,0.09057833,1.0,0.178937,-31.166147,-65.0447,0.9853791,0.003705511283874512,1223.4240400791168,35000
6.10751,-6.415212,183.47513,473.76776,1.8226416,-9.332157,0.028554369,1.0,636.0232,0.65437865,-20.218998,0.08774187,1.0,0.16147637,-26.58918,-60.033466,0.58338964,450.72876,1.9580415,-9.326756,0.02747412,1.0,676.9763,0.71512616,-20.256964,0.09135758,1.0,0.13535875,-26.043587,-59.76947,1.0639892,0.003706810522079468,1241.9580969810486,40000
2.6292307,-3.0522845,99.3457,486.26526,1.9190438,-9.227925,0.00770804,1.0,260.06918,0.33000043,-20.199347,0.085870236,1.0,0.3349468,-26.437386,-63.599655,0.47407454,493.997,2.0087042,-9.227024,0.0075277314,1.0,239.9691,0.34444544,-20.20659,0.08656008,1.0,0.29651195,-27.89303,-65.99016,0.5852275,0.0037064658641815184,1260.490432024002,45000
3.1857927,-2.4018939,103.015976,546.1644,2.3841453,-9.242619,0.0106466105,1.0,353.6911,0.44258332,-20.163212,0.0824289,1.0,0.120072156,-29.49583,-73.700714,0.48072726,538.4973,2.2578578,-9.247472,0.01161721,1.0,333.3718,0.38858616,-20.222866,0.08811024,1.0,0.08090085,-31.24462,-73.42748,0.54562366,0.0037179184913635256,1279.0800285339355,50000
