training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.6991224,-7.6991224,0.08690352,1.0,0.06102425,-0.0598889,1.8786653,7.7371225,-7.7371225,0.09640357,1.0,0.022934605503082274,114.67303824424744,5000
7.6477385,-7.6477385,0.074057534,1.0,0.06862698,-0.07702611,1.6066751,7.6881065,-7.6881065,0.08414956,1.0,0.0006940526962280274,118.14330530166626,10000
7.6380043,-7.6380043,0.0716241,1.0,0.07974831,-0.07699784,1.4727596,7.6816406,-7.6816406,0.08253318,1.0,0.0006944279193878174,121.61544823646545,15000
7.6124864,-7.6124864,0.06524454,1.0,0.10295796,-0.090230405,1.5495096,7.6678066,-7.6678066,0.079074696,1.0,0.0006939825057983398,125.08536434173584,20000
7.594757,-7.594757,0.060812287,1.0,0.06993736,-0.05764286,1.2474563,7.6477337,-7.6477337,0.07405633,1.0,0.0006945229053497314,128.5579822063446,25000
7.600684,-7.600684,0.06229396,1.0,0.049595423,-0.050516654,1.1057131,7.6863174,-7.6863174,0.08370234,1.0,0.0007003736019134521,132.05985379219055,30000
7.606272,-7.606272,0.06369102,1.0,0.050700672,-0.06285151,1.2487048,7.6276283,-7.6276283,0.06903012,1.0,0.000702708387374878,135.57339906692505,35000
7.5908475,-7.5908475,0.059834808,1.0,0.08012764,-0.07339636,1.2492545,7.6609898,-7.6609898,0.077370405,1.0,0.000694171953201294,139.04426288604736,40000
7.5873947,-7.5873947,0.05897159,1.0,0.093181625,-0.050619848,1.2749588,7.671726,-7.671726,0.080054455,1.0,0.0006939909934997559,142.51422095298767,45000
7.5713205,-7.5713205,0.054952964,1.0,0.05704018,-0.060785063,1.2133447,7.6304336,-7.6304336,0.06973131,1.0,0.0006938406467437745,145.9834280014038,50000
7.573686,-7.573686,0.055544503,1.0,0.07114354,-0.04885079,1.2566965,7.635665,-7.635665,0.07103914,1.0,0.0006957695960998536,149.46227931976318,55000
7.5987263,-7.5987263,0.061804436,1.0,0.08311307,-0.101828024,1.4073155,7.634798,-7.634798,0.07082256,1.0,0.000695105504989624,152.93781042099,60000
