training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7416615,-7.7416615,0.0975384,1.0,0.057593934,-0.09940715,1.7204775,7.777508,-7.777508,0.106499895,1.0,0.05049410862922669,252.47055387496948,5000
7.7059584,-7.7059584,0.08861247,1.0,0.05076686,-0.037646107,1.3393956,7.7401695,-7.7401695,0.097165406,1.0,0.000710204553604126,256.0215799808502,10000
7.6906986,-7.6906986,0.08479764,1.0,0.04603876,-0.04690584,1.3354182,7.7344894,-7.7344894,0.095745325,1.0,0.0007121646404266357,259.5824067592621,15000
7.6679335,-7.6679335,0.079106376,1.0,0.0530354,-0.054758787,1.369351,7.7229156,-7.7229156,0.09285195,1.0,0.0007102496147155762,263.1336581707001,20000
7.6802554,-7.6802554,0.08218677,1.0,0.047469404,-0.038160417,1.2093099,7.6977587,-7.6977587,0.08656266,1.0,0.0007153567790985107,266.71044540405273,25000
7.642964,-7.642964,0.07286398,1.0,0.05356655,-0.039022036,1.1497259,7.708239,-7.708239,0.08918272,1.0,0.0007097029685974121,270.2589635848999,30000
7.6500344,-7.6500344,0.074631505,1.0,0.04699897,-0.07460671,1.1589346,7.7005816,-7.7005816,0.08726831,1.0,0.0007076659202575684,273.79729652404785,35000
7.65462,-7.65462,0.07577787,1.0,0.03314129,-0.046087284,1.1004301,7.6766667,-7.6766667,0.08128959,1.0,0.000708892011642456,277.34175992012024,40000
7.6181793,-7.6181793,0.06666784,1.0,0.03255575,-0.0315602,1.048988,7.69637,-7.69637,0.086215526,1.0,0.0007094791889190674,280.8891592025757,45000
7.635926,-7.635926,0.071104445,1.0,0.077816,-0.066500746,1.1446164,7.673671,-7.673671,0.08054063,1.0,0.0007130891799926758,284.45460844039917,50000
7.6264606,-7.6264606,0.06873812,1.0,0.039807286,-0.037549026,1.1317791,7.662146,-7.662146,0.07765949,1.0,0.0007071194648742675,287.9902091026306,55000
7.6159997,-7.6159997,0.06612292,1.0,0.059236906,-0.0494659,1.1733264,7.6745996,-7.6745996,0.08077278,1.0,0.0007103224754333496,291.5418245792389,60000
7.6061473,-7.6061473,0.0636598,1.0,0.04550558,-0.043739386,1.0603535,7.685046,-7.685046,0.08338458,1.0,0.0007098541259765625,295.0910987854004,65000
7.6243973,-7.6243973,0.068222314,1.0,0.07604325,-0.053933516,1.2446731,7.690197,-7.690197,0.08467229,1.0,0.000709306287765503,298.63763332366943,70000
7.6125,-7.6125,0.06524795,1.0,0.034682903,-0.03989504,1.08241,7.6820393,-7.6820393,0.082632735,1.0,0.0007097146987915039,302.1862099170685,75000
7.6117315,-7.6117315,0.065055855,1.0,0.049273163,-0.037133865,1.0470487,7.6883264,-7.6883264,0.08420456,1.0,0.0007064820289611817,305.7186233997345,80000
7.6095276,-7.6095276,0.064504854,1.0,0.042044517,-0.044675983,1.1164713,7.6691856,-7.6691856,0.07941939,1.0,0.0007078090190887451,309.2576720714569,85000
7.6136293,-7.6136293,0.065530315,1.0,0.082818404,-0.06453758,1.1466715,7.67427,-7.67427,0.08069049,1.0,0.0007082592964172363,312.7989721298218,90000
7.591706,-7.591706,0.06004937,1.0,0.051387567,-0.065678485,1.1497023,7.6831083,-7.6831083,0.082900055,1.0,0.0007238733768463135,316.4183421134949,95000
7.600425,-7.600425,0.06222918,1.0,0.045998774,-0.07101278,1.1079854,7.6864824,-7.6864824,0.083743624,1.0,0.0007132774829864502,319.98473262786865,100000
7.589432,-7.589432,0.059480913,1.0,0.04264564,-0.03952868,1.0783889,7.6813664,-7.6813664,0.082464546,1.0,0.04089415149688721,524.455493927002,105000
7.586811,-7.586811,0.058825824,1.0,0.0575649,-0.038356517,1.0790253,7.6882944,-7.6882944,0.08419651,1.0,0.000732988452911377,528.1204397678375,110000
7.5991344,-7.5991344,0.06190663,1.0,0.04848922,-0.068991944,1.2741712,7.6657934,-7.6657934,0.078571334,1.0,0.0007368651866912841,531.804769039154,115000
7.6005406,-7.6005406,0.062258147,1.0,0.064360164,-0.05717846,1.2156788,7.694003,-7.694003,0.08562376,1.0,0.000730171251296997,535.4556286334991,120000
7.5943756,-7.5943756,0.060716845,1.0,0.061126627,-0.057763614,1.1483214,7.6669455,-7.6669455,0.078859285,1.0,0.0007341144561767578,539.1262044906616,125000
7.598323,-7.598323,0.06170367,1.0,0.06302572,-0.04074216,1.1062062,7.6541543,-7.6541543,0.0756616,1.0,0.0007336365699768066,542.7943911552429,130000
