training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
6.1342573,-6.1342573,0.30304408,0.5443641,1.129818,-1.2947354,65.534424,6.2297564,-6.2297564,0.30557412,0.54814315,0.07956112222671509,397.8056216239929,5000
3.0497856,-3.0497856,0.16058691,0.39470184,3.4461644,-2.3277004,124.16122,3.3876052,-3.3876052,0.1626095,0.39204496,0.0007951566219329834,401.78141045570374,10000
2.0335166,-2.0335166,0.1276452,0.3345576,1.758959,-1.9798244,98.67889,2.7756784,-2.7756784,0.13496765,0.33556527,0.0007920348167419433,405.7415883541107,15000
1.2873063,-1.2873063,0.10782461,0.31227863,1.6572437,-2.3910139,87.19823,1.7423422,-1.7423422,0.11232181,0.31871676,0.0007916544437408448,409.69986391067505,20000
0.9412409,-0.9412409,0.09497953,0.29480612,2.5167298,-1.7643636,94.11308,1.7747532,-1.7747532,0.10887512,0.28808746,0.000820170545578003,413.80072045326233,25000
0.6043775,-0.6043775,0.09422251,0.28230476,3.023203,-2.2077398,103.60288,1.1766543,-1.1766543,0.0981216,0.28500256,0.0007990821361541749,417.79613494873047,30000
0.62440586,-0.62440586,0.08842127,0.2815665,3.819459,-2.6186743,119.102936,1.135654,-1.135654,0.09515937,0.28239888,0.0007955427646636963,421.77385234832764,35000
0.46054822,-0.46054822,0.08516752,0.27092743,2.8325236,-3.0231912,102.919945,0.696296,-0.696296,0.09075068,0.2756895,0.0008193670749664306,425.8706912994385,40000
0.58554846,-0.58554846,0.0902396,0.28058845,4.477058,-3.6981275,111.225136,0.717011,-0.717011,0.090803,0.27549106,0.0008006374359130859,429.8738822937012,45000
0.5394218,-0.5394218,0.085570365,0.26560438,3.0106037,-5.5738873,138.80324,0.7115717,-0.7115717,0.08975955,0.273663,0.0007969986438751221,433.85887932777405,50000
0.06329845,-0.06329845,0.079316676,0.26088446,7.081876,-2.915977,116.36766,0.7924968,-0.7924968,0.0919987,0.26280537,0.0007956447124481201,437.83710646629333,55000
0.09207058,-0.09207058,0.0791374,0.2657889,2.5308332,-4.3436346,100.67875,0.26479885,-0.26479885,0.08270389,0.26735708,0.0007896081924438477,441.7851514816284,60000
-0.40556043,0.40556043,0.07210477,0.2543762,2.3974,-2.1410537,89.21345,0.47196358,-0.47196358,0.08432175,0.26515466,0.0007928502082824707,445.74940633773804,65000
